begin,end,participant,utterance,source,utterance_raw,language,corpus,duration,uid,nature,utterance_stripped,nwords,nchar,n,rank,freq,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc
54430,54753,spreker2 [v] (TIE2),ja,/dutch2/DVA13U,ja,dutch,dutch2,323,dutch-04-035-54430,talk,ja,1,2,77862,1,1.2112289194185375e-5,partial,other,-69,overlapped,9920,0.127923387096774,0.982956797463337,3,9,0.222222222222222,2,10,100
54499,55930,spreker1 [v] (TIE0),je moet je ook aanmelden bij,/dutch2/DVA13U,je moet je ook aanmelden bij,dutch,dutch2,1431,dutch-04-036-54499,talk,je moet je ook aanmelden bij,6,28,1,205,1.5556098217596995e-10,partial,other,-254,NA,11351,0.888203682494934,1.00727659952081,4,10,0.8,2,99,69
56426,57419,spreker1 [v] (TIE0),een metro,/dutch2/DVA13U,een metro,dutch,dutch2,993,dutch-04-037-56426,talk,een metro,2,9,1,205,1.5556098217596995e-10,NA,self,NA,NA,10659,0.88094567970729,0.970676623258355,3,9,0.777777777777778,2,99,69
58007,59127,spreker1 [v] (TIE0),kantoortje weet je wel,/dutch2/DVA13U,kantoortje weet je wel,dutch,dutch2,1120,dutch-04-038-58007,talk,kantoortje weet je wel,4,22,1,205,1.5556098217596995e-10,NA,self,NA,NA,8367,0.961395960320306,0.842174131857071,2,7,0.857142857142857,2,99,69
59127,60500,spreker1 [v] (TIE0),en dan kreeg 't ie zo'n sticker op,/dutch2/DVA13U,en dan kreeg 't ie zo'n sticker op,dutch,dutch2,1373,dutch-04-039-59127,talk,en dan kreeg 't ie zo'n sticker op,8,34,1,205,1.5556098217596995e-10,NA,self,NA,overlapped,9740,0.966837782340862,0.861337106473293,2,8,0.875,2,99,69
59150,59392,spreker2 [v] (TIE2),ja,/dutch2/DVA13U,ja,dutch,dutch2,242,dutch-04-040-59150,talk,ja,1,2,77862,1,1.2112289194185375e-5,full,other,23,NA,9982,0.0566018833901022,0.88273788468341,3,9,0.222222222222222,2,10,100
61561,63015,spreker1 [v] (TIE0),echt ja [unk_utterance] [laugh],/dutch2/DVA13U,echt ja xxx ggg,dutch,dutch2,1454,dutch-04-041-61561,talk,echt ja,2,7,5,201,7.778049108798498e-10,NA,other,2169,overlapped,8967,0.93699118991859,0.850194368066749,4,8,0.75,2,28,73
62369,63846,spreker2 [v] (TIE2),maar dat is z'n beroep echt?,/dutch2/DVA13U,maar dat is z'n beroep echt?,dutch,dutch2,1477,dutch-04-042-62369,talk,maar dat is z'n beroep echt?,6,28,1,205,1.5556098217596995e-10,partial,other,-646,NA,10444,0.195518958253543,0.917911759535947,5,9,0.333333333333333,2,99,69
64873.00000000001,67617,spreker1 [v] (TIE0),ja nou ja z'n beroep ja daar verdient ie nu z'n geld mee,/dutch2/DVA13U,ja nou ja z'n beroep ja daar verdient ie nu z'n geld mee,dutch,dutch2,2743.9999999999927,dutch-04-043-64873,talk,ja nou ja z'n beroep ja daar verdient ie nu z'n geld mee,13,56,1,205,1.5556098217596995e-10,NA,other,1027.0000000000073,NA,9402,0.817166560306318,0.840139397730319,4,7,0.714285714285714,2,99,69
67790,68286,spreker1 [v] (TIE0),ja,/dutch2/DVA13U,ja,dutch,dutch2,496,dutch-04-044-67790,talk,ja,1,2,77862,1,1.2112289194185375e-5,NA,self,NA,overlapped,8905,0.806962380685008,0.86632940947563,4,7,0.714285714285714,2,10,100
68020,68297,spreker2 [v] (TIE2),al 't,/dutch2/DVA13U,al 't,dutch,dutch2,277,dutch-04-045-68020,talk,al 't,2,5,1,205,1.5556098217596995e-10,partial,other,-266,NA,8062,0.247581245348549,0.87917121046892,5,7,0.428571428571429,2,99,69
68586,69970,spreker2 [v] (TIE2),dus en hij studeert nog of zo?,/dutch2/DVA13U,dus en hij studeert nog of zo?,dutch,dutch2,1384,dutch-04-046-68586,talk,dus en hij studeert nog of zo?,7,30,1,205,1.5556098217596995e-10,NA,self,NA,NA,9446,0.3578234173195,0.871161117771834,5,8,0.5,2,99,69
70294,70767,spreker1 [v] (TIE0),nee,/dutch2/DVA13U,nee,dutch,dutch2,473,dutch-04-047-70294,talk,nee,1,3,9041,2,1.4064268398529449e-6,NA,other,324,NA,8304,0.622109826589595,0.902020421464262,4,7,0.571428571428571,2,11,91
70928,72220,spreker2 [v] (TIE2),dat is echt z'n beroep beroep?,/dutch2/DVA13U,dat is echt z'n beroep beroep?,dutch,dutch2,1292,dutch-04-048-70928,talk,dat is echt z'n beroep beroep?,6,30,1,205,1.5556098217596995e-10,NA,other,161,NA,9596,0.461650687786578,0.900272070550708,5,8,0.5,2,99,69
72278,72694,spreker1 [v] (TIE0),ja,/dutch2/DVA13U,ja,dutch,dutch2,416,dutch-04-049-72278,talk,ja,1,2,77862,1,1.2112289194185375e-5,NA,other,58,NA,8558,0.482355690581912,0.828861985472155,5,8,0.5,2,10,100
73247,74205,spreker1 [v] (TIE0),maar hij is muzikant hè,/dutch2/DVA13U,maar hij is muzikant hè,dutch,dutch2,958,dutch-04-050-73247,talk,maar hij is muzikant hè,5,23,1,205,1.5556098217596995e-10,NA,self,NA,NA,8039,0.632665754447071,0.861444492070296,4,8,0.625,2,99,69
74205,76982,spreker1 [v] (TIE0),hij is z-zelf*u zeg maar hij hij studeert niet dees*x hè?,/dutch2/DVA13U,hij is z-zelf*u zeg maar hij hij studeert niet dees*x hè?,dutch,dutch2,2777,dutch-04-051-74205,talk,hij is z-zelf*u zeg maar hij hij studeert niet dees*x hè?,11,57,1,205,1.5556098217596995e-10,NA,self,NA,NA,10816,0.726978550295858,0.893219919068461,4,9,0.666666666666667,2,99,69
77201,78113,spreker2 [v] (TIE2),[unk_utterance] hij heeft ook 'n,/dutch2/DVA13U,xxx hij heeft ook 'n,dutch,dutch2,912,dutch-04-052-77201,talk,hij heeft ook 'n,4,16,1,205,1.5556098217596995e-10,NA,other,219,NA,8985,0.430161380077908,0.870386515547806,5,9,0.444444444444444,2,99,69
78666,80143,spreker2 [v] (TIE2),oh dat is die jongen,/dutch2/DVA13U,oh dat is die jongen,dutch,dutch2,1477,dutch-04-053-78666,talk,oh dat is die jongen,5,20,1,205,1.5556098217596995e-10,NA,self,NA,overlapped,8305,0.443226971703793,0.843232815514265,3,7,0.428571428571429,2,100,69
79797,80351,spreker1 [v] (TIE0),ja,/dutch2/DVA13U,ja,dutch,dutch2,554,dutch-04-054-79797,talk,ja,1,2,77862,1,1.2112289194185375e-5,partial,other,-346,NA,8859,0.584490348797833,0.880878989758377,4,8,0.625,2,10,100
81020,81874,spreker2 [v] (TIE2),oh ja [unk_utterance],/dutch2/DVA13U,oh ja xxx,dutch,dutch2,854,dutch-04-055-81020,talk,oh ja,2,5,3398,7,5.285962174339459e-7,NA,other,669,NA,7948,0.408027176648213,0.828261775739892,3,7,0.428571428571429,2,15,86
81874,82601,spreker2 [v] (TIE2),oh ja,/dutch2/DVA13U,oh ja,dutch,dutch2,727,dutch-04-056-81874,talk,oh ja,2,5,3398,7,5.285962174339459e-7,NA,self,NA,NA,8675,0.457636887608069,0.840356485517776,3,8,0.5,2,15,86
82601,83997,spreker2 [v] (TIE2),nou weet ik 't weer,/dutch2/DVA13U,nou weet ik 't weer,dutch,dutch2,1396,dutch-04-057-82601,talk,nou weet ik 't weer,5,19,2,204,3.111219643519399e-10,NA,self,NA,overlapped,9655,0.555774210253755,0.898139534883721,3,8,0.625,2,31,72
82636,84037,spreker1 [v] (TIE0),die trien die de singer-songwriter*v,/dutch2/DVA13U,die trien die de singer-songwriter*v,dutch,dutch2,1401,dutch-04-058-82636,talk,die trien die de singer-songwriter*v,5,36,1,205,1.5556098217596995e-10,partial,other,35,overlapped,11056,0.514652677279305,1.02465245597776,4,9,0.444444444444444,2,100,69
83997,84487,spreker2 [v] (TIE2),ja,/dutch2/DVA13U,ja,dutch,dutch2,490,dutch-04-059-83997,talk,ja,1,2,77862,1,1.2112289194185375e-5,partial,other,-40,overlapped,10588,0.553078957310162,1.02976074693639,5,9,0.666666666666667,2,10,100
84037,86079.00000000001,spreker1 [v] (TIE0),die probeert in londen dus muziekcarrière*n op te bouwen,/dutch2/DVA13U,die probeert in londen dus muziekcarrière*n op te bouwen,dutch,dutch2,2042.0000000000143,dutch-04-060-84037,talk,die probeert in londen dus muziekcarrière*n op te bouwen,9,56,1,205,1.5556098217596995e-10,partial,other,40,NA,12630,0.536342042755344,1.06366851945427,6,10,0.4,2,100,69
86079.00000000001,87648,spreker1 [v] (TIE0),dus ja die grijpt alles aan en,/dutch2/DVA13U,dus ja die grijpt alles aan en,dutch,dutch2,1568.9999999999854,dutch-04-061-86079,talk,dus ja die grijpt alles aan en,7,30,1,205,1.5556098217596995e-10,NA,self,NA,overlapped,11421,0.487260309955345,1.09323250693979,5,10,0.4,2,100,69
86494,88237,spreker2 [v] (TIE2),ik had ik had de l al wel,/dutch2/DVA13U,ik had ik had de l al wel,dutch,dutch2,1743,dutch-04-062-86494,talk,ik had ik had de l al wel,8,25,1,205,1.5556098217596995e-10,partial,other,-1154,NA,13164,0.577256153144941,1.19282348677057,6,11,0.636363636363636,2,100,69
88237,88929,spreker2 [v] (TIE2),thuis gebracht,/dutch2/DVA13U,thuis gebracht,dutch,dutch2,692,dutch-04-063-88237,talk,thuis gebracht,2,14,1,205,1.5556098217596995e-10,NA,self,NA,NA,12944,0.570071075401731,1.26122965994349,6,11,0.636363636363636,2,100,69
88929,91248,spreker2 [v] (TIE2),maar de c nog niet met 't eerdere verhaal zeg maar,/dutch2/DVA13U,maar de c nog niet met 't eerdere verhaal zeg maar,dutch,dutch2,2319,dutch-04-064-88929,talk,maar de c nog niet met 't eerdere verhaal zeg maar,11,50,1,205,1.5556098217596995e-10,NA,self,NA,overlapped,13786,0.596329609749021,1.20391232206794,5,11,0.636363636363636,2,100,69
90648,92033,spreker1 [v] (TIE0),oké ja ja ja,/dutch2/DVA13U,oké ja ja ja,dutch,dutch2,1385,dutch-04-065-90648,talk,oké ja ja ja,4,12,1,205,1.5556098217596995e-10,partial,other,-600,overlapped,14617,0.437572689334337,1.32724961409244,5,11,0.363636363636364,2,100,69
91537,92171,spreker2 [v] (TIE2),[laugh],/dutch2/DVA13U,ggg,dutch,dutch2,633.9999999999854,dutch-04-066-91537,laugh,NA,NA,NA,NA,NA,NA,partial,other,-496,NA,14396,0.555709919422062,1.39807710983782,6,11,0.636363636363636,2,NA,NA
92414,94279,spreker1 [v] (TIE0),dus nee hij probee*a hij hij,/dutch2/DVA13U,dus nee hij probee*a hij hij,dutch,dutch2,1865,dutch-04-067-92414,talk,dus nee hij probee*a hij hij,6,28,1,205,1.5556098217596995e-10,NA,other,243.00000000001455,NA,15534,0.531801210248487,1.33019352628875,7,11,0.454545454545455,2,100,69
94879,95640,spreker1 [v] (TIE0),ja wil natuurlijk,/dutch2/DVA13U,ja wil natuurlijk,dutch,dutch2,761.0000000000146,dutch-04-068-94879,talk,ja wil natuurlijk,3,17,1,205,1.5556098217596995e-10,NA,self,NA,NA,10966,0.508754331570308,1.14695115573685,4,8,0.5,2,100,69
96113,98860,spreker1 [v] (TIE0),hij mag ook alleen maar via muziek z'n geld verdienen,/dutch2/DVA13U,hij mag ook alleen maar via muziek z'n geld verdienen,dutch,dutch2,2747,dutch-04-069-96113,talk,hij mag ook alleen maar via muziek z'n geld verdienen,10,53,1,205,1.5556098217596995e-10,NA,self,NA,overlapped,12145,0.556442980650473,0.982128416626233,3,8,0.5,2,100,69
96748,97590,spreker2 [v] (TIE2),oké,/dutch2/DVA13U,oké,dutch,dutch2,842.0000000000146,dutch-04-070-96748,talk,oké,1,3,89,124,1.3844927413661329e-8,full,other,-2112.0000000000146,NA,11244,0.398968338669513,1.05845806269415,4,8,0.5,2,23,78
99344,101040,spreker1 [v] (TIE0),omdat ie 'n muzikantenvisum*n heeft,/dutch2/DVA13U,omdat ie 'n muzikantenvisum*n heeft,dutch,dutch2,1695.9999999999854,dutch-04-071-99344,talk,omdat ie 'n muzikantenvisum*n heeft,5,35,1,205,1.5556098217596995e-10,NA,other,1754,overlapped,9928,0.851430298146656,0.955350269438029,4,7,0.714285714285714,2,100,69
100937,101322,spreker2 [v] (TIE2),oké,/dutch2/DVA13U,oké,dutch,dutch2,385,dutch-04-072-100937,talk,oké,1,3,89,124,1.3844927413661329e-8,partial,other,-102.99999999998543,NA,8928,0.208333333333333,0.912416964741952,4,7,0.428571428571429,2,23,78
101322,102914,spreker2 [v] (TIE2),en heeft ie al 'n bandje gevonden en zo?,/dutch2/DVA13U,en heeft ie al 'n bandje gevonden en zo?,dutch,dutch2,1592,dutch-04-073-101322,talk,en heeft ie al 'n bandje gevonden en zo?,9,40,1,205,1.5556098217596995e-10,NA,self,NA,NA,10520,0.328136882129278,0.924672585039993,4,8,0.5,2,100,69
103457,104426,spreker1 [v] (TIE0),uh nee,/dutch2/DVA13U,uh nee,dutch,dutch2,969,dutch-04-074-103457,talk,uh nee,2,6,91,122,1.4156049378013268e-8,NA,other,543,NA,8991,0.686464242019798,0.941761809992668,4,7,0.571428571428571,2,23,78
104703,107068,spreker1 [v] (TIE0),maar hij gaat wel naar van die open mike*v avonden,/dutch2/DVA13U,maar hij gaat wel naar van die open mike*v avonden,dutch,dutch2,2365,dutch-04-075-104703,talk,maar hij gaat wel naar van die open mike*v avonden,10,50,1,205,1.5556098217596995e-10,NA,self,NA,NA,11356,0.751761183515322,0.931659693165969,4,8,0.625,2,100,69
107495,108280,spreker1 [v] (TIE0),en dus dit,/dutch2/DVA13U,en dus dit,dutch,dutch2,785,dutch-04-076-107495,talk,en dus dit,3,10,1,205,1.5556098217596995e-10,NA,self,NA,NA,7791,0.746245668078552,0.87186660698299,2,6,0.666666666666667,2,100,69
108280,109838,spreker1 [v] (TIE0),en nou ja daar staat ie met z'n gitaar,/dutch2/DVA13U,en nou ja daar staat ie met z'n gitaar,dutch,dutch2,1558,dutch-04-077-108280,talk,en nou ja daar staat ie met z'n gitaar,9,38,1,205,1.5556098217596995e-10,NA,self,NA,NA,9349,0.788533532998182,0.890890032399466,2,7,0.714285714285714,2,100,69
109838,110757,spreker1 [v] (TIE0),met z'n website en,/dutch2/DVA13U,met z'n website en,dutch,dutch2,919,dutch-04-078-109838,talk,met z'n website en,4,18,1,205,1.5556098217596995e-10,NA,self,NA,NA,8573,0.769392278082352,0.873014256619145,1,7,0.714285714285714,2,100,69
111080,112857,spreker1 [v] (TIE0),nou ja misschien dat mensen je dan zien weet je en,/dutch2/DVA13U,nou ja misschien dat mensen je dan zien weet je en,dutch,dutch2,1777,dutch-04-079-111080,talk,nou ja misschien dat mensen je dan zien weet je en,11,50,1,205,1.5556098217596995e-10,NA,self,NA,NA,9965,0.840240842950326,0.863892501083658,1,7,0.857142857142857,2,100,69
113226,115141,spreker1 [v] (TIE0),je voor 'n uh bruiloft of zo,/dutch2/DVA13U,je voor 'n uh bruiloft of zo,dutch,dutch2,1914.9999999999857,dutch-04-080-113226,talk,je voor 'n uh bruiloft of zo,7,28,1,205,1.5556098217596995e-10,NA,self,NA,NA,10287,1,0.880434782608696,0,7,1,1,100,69
115141,115614,spreker1 [v] (TIE0),of nou ja,/dutch2/DVA13U,of nou ja,dutch,dutch2,473.00000000001455,dutch-04-081-115141,talk,of nou ja,3,9,2,204,3.111219643519399e-10,NA,self,NA,NA,7426,1,0.914644660672497,0,6,1,1,31,72
115614,117933,spreker1 [v] (TIE0),zo moet je natuurlijk een beetje je ingangen proberen te vinden,/dutch2/DVA13U,zo moet je natuurlijk een beetje je ingangen proberen te vinden,dutch,dutch2,2319,dutch-04-082-115614,talk,zo moet je natuurlijk een beetje je ingangen proberen te vinden,11,63,1,205,1.5556098217596995e-10,NA,self,NA,overlapped,9745,1,0.933607970875647,0,7,1,1,100,69
116837,117160,spreker2 [v] (TIE2),ja,/dutch2/DVA13U,ja,dutch,dutch2,323,dutch-04-083-116837,talk,ja,1,2,77862,1,1.2112289194185375e-5,full,other,-1096,NA,10068,0.0320818434644418,0.964552596282813,1,8,0.125,2,10,100
118083,119941,spreker2 [v] (TIE2),is wel lastig in enge*a in engeland,/dutch2/DVA13U,is wel lastig in enge*a in engeland,dutch,dutch2,1858,dutch-04-084-118083,talk,is wel lastig in enge*a in engeland,7,35,1,205,1.5556098217596995e-10,NA,self_during_other,150,NA,11141,0.195763396463513,0.955406911928651,1,8,0.25,2,100,69
